Unnamed: 0;word;translation;type;cefr;phon_br;phon_n_am;definition;example
19;abuse;зловживання;noun;c1;/əˈbjuːs/;/əˈbjuːs/;the use of something in a way that is wrong or harmful;alcohol/drug abuse
20;abuse;зловживання;verb;c1;/əˈbjuːz/;/əˈbjuːz/;to make bad use of something, or to use so much of something that it harms your health;to abuse alcohol/drugs
21;academic;академічний;adjective;b1;/ˌækəˈdemɪk/;/ˌækəˈdemɪk/;connected with education, especially studying in schools and universities;high/low academic standards
22;academic;академічний;noun;b2;/ˌækəˈdemɪk/;/ˌækəˈdemɪk/;a person who teaches and/or does research at a university or college;a leading/distinguished/prominent academic
23;academy;академія;noun;c1;/əˈkædəmi/;/əˈkædəmi/;a school or college for special training;She trained at the Royal Academy of Music.
24;accelerate;прискорення;verb;c1;/əkˈseləreɪt/;/əkˈseləreɪt/;"to happen faster or earlier; to make something happen faster or earlier";Inflation continues to accelerate.
25;accent;акцент;noun;b2;/ˈæksent/;/ˈæksent/;"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language";a northern/Dublin/Scottish accent
26;accept;прийняти;verb;a2;/əkˈsept/;/əkˈsept/;"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.";He asked me to marry him and I accepted.
27;acceptable;прийнятний;adjective;b2;/əkˈseptəbl/;/əkˈseptəbl/;agreed or approved of by most people in a society;Children must learn socially acceptable behaviour.
28;acceptance;прийняття;noun;c1;/əkˈseptəns/;/əkˈseptəns/;the act of accepting a gift, an invitation, an offer, etc.;Please confirm your acceptance of this offer in writing.
29;access;доступ;noun;b1;/ˈækses/;/ˈækses/;the opportunity or right to use something or to see somebody/something;High-speed internet access has become a necessity.
30;access;доступ;verb;b1;/ˈækses/;/ˈækses/;to open a computer file or use a computer system;Most people use their phones to access the internet.
31;accessible;доступний;adjective;c1;/əkˈsesəbl/;/əkˈsesəbl/;that can be reached, entered, used, seen, etc.;The remote desert area is accessible only by helicopter.
32;accident;дтп;noun;a2;/ˈæksɪdənt/;/ˈæksɪdənt/;an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage;a car/road/traffic accident
33;accidentally;випадково;adverb;b2;/ˌæksɪˈdentəli/;/ˌæksɪˈdentəli/;"by chance; in a way that was not planned";As I turned around, I accidentally hit him in the face.
34;accommodate;розміщення;verb;b2;/əˈkɒmədeɪt/;/əˈkɑːmədeɪt/;to provide somebody with a room or place to sleep, live or sit;The hotel can accommodate up to 500 guests.
35;accommodation;проживання;noun;b1;/əˌkɒməˈdeɪʃn/;/əˌkɑːməˈdeɪʃn/;a place to live, work or stay in;rented/temporary accommodation
36;accompany;супроводжувати;verb;b2;/əˈkʌmpəni/;/əˈkʌmpəni/;to travel or go somewhere with somebody/something;accompany somebody/something + adv./prep., His wife accompanied him on the trip.
37;accomplish;виконати;verb;b2;/əˈkʌmplɪʃ/;/əˈkɑːmplɪʃ/;to succeed in doing or completing something;The first part of the plan has been safely accomplished.
38;accomplishment;досягнення;noun;c1;/əˈkʌmplɪʃmənt/;/əˈkɑːmplɪʃmənt/;an impressive thing that is done or achieved after a lot of work;It was one of the President's greatest accomplishments.
39;accordance;відповідність;noun;c1;/əˈkɔːdns/;/əˈkɔːrdns/;according to a rule or the way that somebody says that something should be done;in accordance with legal requirements
40;according to;відповідно до;preposition;a2;/əˈkɔːdɪŋ tə/;/əˈkɔːrdɪŋ tə/;as stated or reported by somebody/something;According to Mick, it's a great movie.
41;accordingly;відповідно;adverb;c1;/əˈkɔːdɪŋli/;/əˈkɔːrdɪŋli/;in a way that is appropriate to what has been done or said in a particular situation;We have to discover his plans and act accordingly.
42;account;рахунок;noun;b1;/əˈkaʊnt/;/əˈkaʊnt/;an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.;I don't have a bank account.
43;account;рахунок;verb;b2;/əˈkaʊnt/;/əˈkaʊnt/;to have the opinion that somebody/something is a particular thing;be accounted + adj., In English law a person is accounted innocent until they are proved guilty.
44;accountability;підзвітність;noun;c1;/əˌkaʊntəˈbɪləti/;/əˌkaʊntəˈbɪləti/;the fact of being responsible for your decisions or actions and expected to explain them when you are asked;proposals for greater police accountability
45;accountable;підзвітний;adjective;c1;/əˈkaʊntəbl/;/əˈkaʊntəbl/;responsible for your decisions or actions and expected to explain them when you are asked;The state spends taxpayers’ money and should be held accountable.
46;accountant;бухгалтер;noun;b2;/əˈkaʊntənt/;/əˈkaʊntənt/;a person whose job is to keep or check financial accounts;We talked to the company’s chief accountant.
47;accumulate;накопичення;verb;c1;/əˈkjuːmjəleɪt/;/əˈkjuːmjəleɪt/;to gradually get more and more of something over a period of time;I seem to have accumulated a lot of books.
48;accumulation;накопичення;noun;c1;/əˌkjuːmjəˈleɪʃn/;/əˌkjuːmjəˈleɪʃn/;the process of gradually increasing or getting more and more of something over a period of time;the accumulation of wealth
49;accuracy;точність;noun;b2;/ˈækjərəsi/;/ˈækjərəsi/;"the state of being exact or correct; the ability to do something with skill and without making mistakes";They questioned the accuracy of the information in the file.
50;accurate;точний;adjective;b2;/ˈækjərət/;/ˈækjərət/;correct and true in every detail;an accurate description/picture of something
51;accurately;точно;adverb;b2;/ˈækjərətli/;/ˈækjərətli/;in a way that is correct and true in every detail;The article accurately reflects public opinion.
52;accusation;звинувачення;noun;c1;/ˌækjuˈzeɪʃn/;/ˌækjuˈzeɪʃn/;"a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody";I don't want to make an accusation until I have some proof.
53;accuse;звинувачувати;verb;b2;/əˈkjuːz/;/əˈkjuːz/;to say that somebody has done something wrong or is guilty of something;accuse somebody of something, to accuse somebody of murder/a crime
54;accused;обвинувачений;noun;c1;/ði əˈkjuːzd/;/ði əˈkjuːzd/;a person who is on trial for committing a crime;The accused was found innocent.
55;achieve;досягти;verb;a2;/əˈtʃiːv/;/əˈtʃiːv/;to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time;He had finally achieved success.
56;achievement;досягнення;noun;b1;/əˈtʃiːvmənt/;/əˈtʃiːvmənt/;a thing that somebody has done successfully, especially using their own effort and skill;the greatest scientific achievement of the decade
57;acid;кислота;adjective;c1;/ˈæsɪd/;/ˈæsɪd/;"that contains acid or has the essential characteristics of an acid; that has a pH of less than seven";Rye is tolerant of poor, acid soils.
58;acid;кислота;noun;b2;/ˈæsɪd/;/ˈæsɪd/;a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt. Acids usually have a bitter sharp taste and can often burn holes in or damage things they touch.;The acid burned a hole in her coat.
59;acknowledge;визнати;verb;b2;/əkˈnɒlɪdʒ/;/əkˈnɑːlɪdʒ/;to accept that something is true;acknowledge something, She refuses to acknowledge the need for reform.
60;acquire;придбання;verb;b2;/əˈkwaɪə(r)/;/əˈkwaɪər/;to gain something by your own efforts, ability or behaviour;She has acquired a good knowledge of English.
61;acquisition;придбання;noun;c1;/ˌækwɪˈzɪʃn/;/ˌækwɪˈzɪʃn/;the act of getting something, especially knowledge, a skill, etc.;theories of child language acquisition
62;acre;акр;noun;c1;/ˈeɪkə(r)/;/ˈeɪkər/;"a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres";3 000 acres of parkland
63;across;поперек;adverb;a1;/əˈkrɒs/;/əˈkrɔːs/;from one side to the other side;It's too wide. We can't swim across.
64;across;через;preposition;a1;/əˈkrɒs/;/əˈkrɔːs/;from one side to the other side of something;He walked across the field.
65;act;акт;noun;b1;/ækt/;/ækt/;a particular thing that somebody does;You have committed a serious criminal act.
66;act;акт;verb;a2;/ækt/;/ækt/;to do something for a particular purpose or in order to deal with a situation;act to do something, It is vital that we act to stop the destruction of the rainforests.
67;action;дія;noun;a1;/ˈækʃn/;/ˈækʃn/;the process of doing something in order to make something happen or to deal with a situation;The time has come for action if these beautiful animals are to survive.
68;activate;активувати;verb;b2;/ˈæktɪveɪt/;/ˈæktɪveɪt/;to make something such as a device or chemical process start working;The burglar alarm is activated by movement.
69;activation;активація;noun;c1;/ˌæktɪˈveɪʃn/;/ˌæktɪˈveɪʃn/;the act of making something such as a device or chemical process start working;The activation of several target genes results in two major effects.
70;active;активний;adjective;a2;/ˈæktɪv/;/ˈæktɪv/;always busy doing things, especially physical activities;Staying physically active in later years can also keep you feeling younger. 
71;activist;активіст;noun;c1;/ˈæktɪvɪst/;/ˈæktɪvɪst/;a person who works to achieve political or social change, especially as a member of an organization with particular aims;human/civil/animal rights activists
72;activity;активність;noun;a1;/ækˈtɪvəti/;/ækˈtɪvəti/;a thing that you do for interest or pleasure;leisure/outdoor/recreational activities
73;actor;актор;noun;a1;/ˈæktə(r)/;/ˈæktər/;a person who performs on the stage, on television or in films, especially as a profession;Both lead actors (= the ones who play the main parts) are outstanding.
74;actress;актриса;noun;a1;/ˈæktrəs/;/ˈæktrəs/;a woman who performs on the stage, on television or in films, especially as a profession;The Oscar-winning actress has taken a break from acting.
75;actual;фактично;adjective;b2;/ˈæktʃuəl/;/ˈæktʃuəl/;used to emphasize something that is real or exists in fact;James looks younger than his wife but in actual fact (= really) he is five years older.
76;actually;власне;adverb;a2;/ˈæktʃuəli/;/ˈæktʃuəli/;used in speaking to emphasize a fact or a comment, or that something is really true;What did she actually say?
77;acute;гострий;adjective;c1;/əˈkjuːt/;/əˈkjuːt/;very serious or severe;There is an acute shortage of water.
78;ad;ad;noun;b1;/æd/;/æd/;a notice, picture or film telling people about a product, job or service;The TV ads were first run last year.
79;adapt;адаптуватися;verb;b2;/əˈdæpt/;/əˈdæpt/;to change your behaviour in order to deal more successfully with a new situation;It's amazing how soon you adapt.
80;adaptation;адаптація;noun;c1;/ˌædæpˈteɪʃn/;/ˌædæpˈteɪʃn/;the action or process of changing something, or of being changed, to suit a new purpose or situation;the adaptation of buildings for military purposes
81;add;додати;verb;a1;/æd/;/æd/;to put something together with something else so as to increase the size, number, amount, etc.;add something, Next add the flour.
82;addiction;наркоманія;noun;b2;/əˈdɪkʃn/;/əˈdɪkʃn/;the condition of being unable to stop using or doing something as a habit, especially something harmful;cocaine addiction
83;addition;додавання;noun;b1;/əˈdɪʃn/;/əˈdɪʃn/;a thing that is added to something else;All of these technologies are fairly recent additions.
84;additional;додатковий;adjective;b2;/əˈdɪʃənl/;/əˈdɪʃənl/;more than was first mentioned or is usual;additional resources/funds/security/funding/costs
85;additionally;додатково;adverb;b2;/əˈdɪʃənəli/;/əˈdɪʃənəli/;in a way that is more than was first mentioned or is usual;Additionally, the bus service will run on Sundays, every two hours.
86;address;адреса;noun;a1;/əˈdres/;/əˈdres/;details of where somebody lives or works and where letters, etc. can be sent;What's your name and address?
87;address;адреса;verb;b2;/əˈdres/;/əˈdres/;to think about a problem or a situation and decide how you are going to deal with it;address something, Your essay does not address the real issues.
88;adequate;адекватний;adjective;b2;/ˈædɪkwət/;/ˈædɪkwət/;enough in quantity, or good enough in quality, for a particular purpose or need;They'll need an adequate supply of hot water.
89;adequately;адекватно;adverb;b2;/ˈædɪkwətli/;/ˈædɪkwətli/;in a way that is enough in quantity, or good enough in quality, for a particular purpose or need;Are you adequately insured?
90;adhere;дотримуватися;verb;c1;/ədˈhɪə(r)/;/ədˈhɪr/;to stick to something;Once in the bloodstream, the bacteria adhere to the surface of the red cells.
91;adjacent;сусідній;adjective;c1;/əˈdʒeɪsnt/;/əˈdʒeɪsnt/;next to something;The planes landed on adjacent runways.
92;adjust;відрегулювати;verb;b2;/əˈdʒʌst/;/əˈdʒʌst/;to change something slightly to make it more suitable for a new set of conditions or to make it work better;adjust something, Watch out for sharp bends and adjust your speed accordingly.
93;adjustment;коригування;noun;c1;/əˈdʒʌstmənt/;/əˈdʒʌstmənt/;a small change made to something in order to correct or improve it;I've made a few adjustments to the design.
94;administer;адміністрування;verb;c1;/ədˈmɪnɪstə(r)/;/ədˈmɪnɪstər/;to manage and organize the affairs of a company, an organization, a country, etc.;to administer a charity/fund/school
95;administration;адміністрація;noun;b2;/ədˌmɪnɪˈstreɪʃn/;/ədˌmɪnɪˈstreɪʃn/;the activities that are done in order to plan, organize and run a business, school or other institution;Administration costs are passed on to the customer.
96;administrative;адміністративний;adjective;c1;/ədˈmɪnɪstrətɪv/;/ədˈmɪnɪstreɪtɪv/;connected with organizing the work of a business or an institution;an administrative job/assistant/error
97;administrator;адміністратор;noun;c1;/ədˈmɪnɪstreɪtə(r)/;/ədˈmɪnɪstreɪtər/;a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc.;Such organizational decisions are made by the hospital administrators.
98;admire;захоплюватися;verb;b1;/ədˈmaɪə(r)/;/ədˈmaɪər/;to respect somebody for what they have done or to respect their qualities;admire somebody/something, I really admire your enthusiasm.
99;admission;вхід;noun;c1;/ədˈmɪʃn/;/ədˈmɪʃn/;"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization";Hospital admission is not necessary in most cases.
100;admit;прийняти;verb;b1;/ədˈmɪt/;/ədˈmɪt/;to agree, often unwillingly, that something is true;It was a stupid thing to do, I admit.
101;adolescent;підліток;noun;c1;/ˌædəˈlesnt/;/ˌædəˈlesnt/;a young person who is developing from a child into an adult;adolescents between the ages of 13 and 18 and the problems they face
102;adopt;прийняти;verb;b2;/əˈdɒpt/;/əˈdɑːpt/;to take somebody else’s child into your family and become its legal parent(s);a campaign to encourage childless couples to adopt
103;adoption;усиновлення;noun;c1;/əˈdɒpʃn/;/əˈdɑːpʃn/;"the act of adopting a child; the fact of being adopted";She put the baby up for adoption.
104;adult;дорослий;adjective;a2;/ˈædʌlt/;/əˈdʌlt/;fully grown or developed;preparing young people for adult life
105;adult;дорослий;noun;a1;/ˈædʌlt/;/əˈdʌlt/;a fully grown person who is legally responsible for their actions;Children must be accompanied by an adult.
106;advance;аванс;adjective;b2;/ədˈvɑːns/;/ədˈvæns/;done or given before something is going to happen;Please give us advance warning of any changes.
107;advance;аванс;noun;b2;/ədˈvɑːns/;/ədˈvæns/;progress or a development in a particular activity or area of understanding;We live in an age of rapid technological advance.
108;advance;авансу;verb;b2;/ədˈvɑːns/;/ədˈvæns/;if knowledge, technology, etc. advances, it develops and improves;Technology is advancing at an incredibly rapid pace.
109;advanced;вдосконалений;adjective;b1;/ədˈvɑːnst/;/ədˈvænst/;having the most modern and recently developed ideas, methods, etc.;Scientists are working on highly advanced technology to replace fossil fuels.
110;advantage;перевага;noun;a2;/ədˈvɑːntɪdʒ/;/ədˈvæntɪdʒ/;a thing that helps you to be better or more successful than other people;a distinct/significant/huge advantage
111;adventure;пригоди;noun;a2;/ədˈventʃə(r)/;/ədˈventʃər/;an unusual, exciting or dangerous experience, journey or series of events;her adventures travelling in Africa
112;adverse;несприятливий;adjective;c1;/ˈædvɜːs/;/ədˈvɜːrs/;"negative and unpleasant; not likely to produce a good result";adverse change/circumstances/weather conditions
113;advertise;реклама;verb;a2;/ˈædvətaɪz/;/ˈædvərtaɪz/;to tell the public about a product or a service in order to encourage people to buy or to use it;If you want to attract customers you need to advertise.
114;advertisement;реклама;noun;a2;/ədˈvɜːtɪsmənt/;/ˌædvərˈtaɪzmənt/;a notice, picture or film telling people about a product, job or service;a newspaper/television advertisement
115;advertising;реклама;noun;a2;/ˈædvətaɪzɪŋ/;/ˈædvərtaɪzɪŋ/;the activity and industry of advertising things to people on television, in newspapers, on the internet, etc.;Cigarette advertising has been banned.
116;advice;порада;noun;a1;/ədˈvaɪs/;/ədˈvaɪs/;an opinion or a suggestion about what somebody should do in a particular situation;expert/practical/professional/medical advice
117;advise;порадити;verb;b1;/ədˈvaɪz/;/ədˈvaɪz/;to tell somebody what you think they should do in a particular situation;advise against doing something, I would strongly advise against going out on your own.
118;advocate;адвокат;noun;c1;/ˈædvəkət/;/ˈædvəkət/;a person who supports or speaks in favour of somebody or of a public plan or action;advocate for something/somebody, an advocate for hospital workers
119;advocate;адвокат;verb;c1;/ˈædvəkeɪt/;/ˈædvəkeɪt/;to support something publicly;advocate something, The group does not advocate the use of violence.
120;aesthetic;естетичне;adjective;c1;/iːsˈθetɪk/;/esˈθetɪk/;connected with beauty and art and the understanding of beautiful things;the aesthetic appeal of the songs
121;affair;справа;noun;b2;/əˈfeə(r)/;/əˈfer/;events that are of public interest or political importance;world/international affairs
122;affect;вплив;verb;a2;/əˈfekt/;/əˈfekt/;to produce a change in somebody/something;How will these changes affect us?
123;affection;прихильність;noun;c1;/əˈfekʃn/;/əˈfekʃn/;the feeling of liking or loving somebody/something very much and caring about them;Children need lots of love and affection.
124;afford;дозволити;verb;b1;/əˈfɔːd/;/əˈfɔːrd/;to have enough money to be able to buy or do something;afford something, Can we afford a new car?
125;affordable;доступний;adjective;b2;/əˈfɔːdəbl/;/əˈfɔːrdəbl/;cheap enough that people can afford to pay it or buy it;We offer quality products at affordable prices.
126;afraid;боїться;adjective;a1;/əˈfreɪd/;/əˈfreɪd/;"feeling fear; frightened because you think that you might be hurt or suffer";Don't be afraid.
127;after;після;adverb;a2;/ˈɑːftə(r)/;/ˈæftər/;"later in time; afterwards";That was in 1996. Soon after, I heard that he'd died.
128;after;після;conjunction;a2;/ˈɑːftə(r)/;/ˈæftər/;"at a time later than something; when something has finished";I'll call you after I've spoken to them.
129;after;після;preposition;a1;/ˈɑːftə(r)/;/ˈæftər/;"later than something; following something in time";We'll leave after lunch.
130;aftermath;aftermath;noun;c1;/ˈɑːftəmæθ/;/ˈæftərmæθ/;the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc.;in the aftermath of something, A lot of rebuilding took place in the aftermath of the war.
131;afternoon;вдень;noun;a1;/ˌɑːftəˈnuːn/;/ˌæftərˈnuːn/;the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening;this/yesterday/tomorrow afternoon
132;afterwards;згодом;adverb;b2;/ˈɑːftəwədz/;/ˈæftərwərdz/;"at a later time; after an event that has already been mentioned";Afterwards she was sorry for what she'd said.
133;again;знову;adverb;a1;/əˈɡen/;/əˈɡen/;"one more time; on another occasion";This must never happen again.
134;against;проти;preposition;a2;/əˈɡenst/;/əˈɡenst/;opposing or disagreeing with somebody/something;the fight against terrorism
135;age;вік;noun;a1;/eɪdʒ/;/eɪdʒ/;the number of years that a person has lived or a thing has existed;You're the same age as my brother.
136;age;вік;verb;b1;/eɪdʒ/;/eɪdʒ/;to become older;As he aged, his memory got worse.
137;aged;у віці;adjective;b1;/eɪdʒd/;/eɪdʒd/;of the age of;They have two children aged six and nine.
138;agency;агентство;noun;b2;/ˈeɪdʒənsi/;/ˈeɪdʒənsi/;a business or an organization that provides a particular service especially when representing other businesses or organizations;She works for an advertising agency.
139;agenda;порядок денний;noun;b2;/əˈdʒendə/;/əˈdʒendə/;a list of items to be discussed at a meeting;We have a very full agenda of issues to discuss.
140;agent;агент;noun;b1;/ˈeɪdʒənt/;/ˈeɪdʒənt/;a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.;Our agent in New York deals with all US sales.
141;aggression;агресія;noun;c1;/əˈɡreʃn/;/əˈɡreʃn/;feelings of anger and hate that may result in threatening or violent behaviour;The research shows that computer games may cause aggression.
142;aggressive;агресивний;adjective;b2;/əˈɡresɪv/;/əˈɡresɪv/;"angry, and behaving in a threatening way; ready to attack";Seals have been known to exhibit aggressive behaviour towards swimmers.
143;ago;тому;adverb;a1;/əˈɡəʊ/;/əˈɡəʊ/;used in expressions of time with the simple past tense to show how far in the past something happened;two weeks/months/years ago
144;agree;погодитися;verb;a1;/əˈɡriː/;/əˈɡriː/;"to have the same opinion as somebody; to say that you have the same opinion";When he said that, I had to agree.
145;agreement;угода;noun;b1;/əˈɡriːmənt/;/əˈɡriːmənt/;an arrangement, a promise or a contract made with somebody;an international peace agreement
146;agricultural;сільськогосподар;adjective;c1;/ˌæɡrɪˈkʌltʃərəl/;/ˌæɡrɪˈkʌltʃərəl/;connected with the science or practice of farming;agricultural policy/land/production/development
147;agriculture;сільське господарство;noun;b2;/ˈæɡrɪkʌltʃə(r)/;/ˈæɡrɪkʌltʃər/;the science or practice of farming;The number of people employed in agriculture has fallen in the last decade.
148;ah;ах;exclamation;a2;/ɑː/;/ɑː/;used to express surprise, pleasure or sympathy, or when you disagree with somebody;Ah, there you are!
149;ahead;попереду;adverb;b1;/əˈhed/;/əˈhed/;"further forward in space or time; in front";I'll run ahead and warn them.
150;aid;допомога;noun;b2;/eɪd/;/eɪd/;money, food, etc. that is sent to help countries in difficult situations;humanitarian/food/medical aid
151;aid;допомога;verb;b2;/eɪd/;/eɪd/;to help somebody/something to do something, especially by making it easier;aid in something, The test is designed to aid in the diagnosis of various diseases.
152;aide;помічник;noun;c1;/eɪd/;/eɪd/;a person who helps another person, especially a politician, in their job;White House aides
153;AIDS;снід;noun;b2;/eɪdz/;/eɪdz/;a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’);the AIDS epidemic
154;aim;мета;noun;b1;/eɪm/;/eɪm/;"the purpose of doing something; what somebody is trying to achieve";the stated aims of the study 
155;aim;мета;verb;b1;/eɪm/;/eɪm/;to try or plan to achieve something;He has always aimed high (= tried to achieve a lot).
156;air;повітря;noun;a1;/eə(r)/;/er/;the mixture of gases that surrounds the earth and that we breathe;Let's go out for some fresh air.
157;aircraft;літак;noun;b2;/ˈeəkrɑːft/;/ˈerkræft/;any vehicle that can fly and carry goods or passengers;fighter/transport/military aircraft
158;airline;авіакомпанія;noun;a2;/ˈeəlaɪn/;/ˈerlaɪn/;a company that provides regular flights to take passengers and goods to different places;an airline pilot/passenger
159;airport;аеропорт;noun;a1;/ˈeəpɔːt/;/ˈerpɔːrt/;a place where planes land and take off and that has buildings for passengers to wait in;Gatwick Airport
160;alarm;тривога;noun;b1;/əˈlɑːm/;/əˈlɑːrm/;a loud noise or a signal that warns people of danger or of a problem;She decided to sound the alarm (= warn people that the situation was dangerous).
161;alarm;сигналізація;verb;b2;/əˈlɑːm/;/əˈlɑːrm/;to make somebody anxious or afraid;I can only guess that they don't want to alarm the public yet.
162;albeit;хоч і;conjunction;c1;/ˌɔːlˈbiːɪt/;/ˌɔːlˈbiːɪt/;although;He finally agreed, albeit reluctantly, to help us.
163;album;альбом;noun;b1;/ˈælbəm/;/ˈælbəm/;a book in which you keep photographs, stamps, etc.;a photo album
164;alcohol;алкоголь;noun;b1;/ˈælkəhɒl/;/ˈælkəhɔːl/;drinks such as beer, wine, etc. that can make people drunk;He never drinks alcohol.
165;alcoholic;алкоголік;adjective;b1;/ˌælkəˈhɒlɪk/;/ˌælkəˈhɑːlɪk/;connected with or containing alcohol;alcoholic drinks/beverages
166;alert;попередження;adjective;c1;/əˈlɜːt/;/əˈlɜːrt/;"able to think quickly; quick to notice things";Suddenly he found himself awake and fully alert.
167;alert;попередження;noun;c1;/əˈlɜːt/;/əˈlɜːrt/;a situation in which people are watching for danger and ready to deal with it;on the alert (for something), Police are warning the public to be on the alert for suspicious packages.
168;alert;попередження;verb;c1;/əˈlɜːt/;/əˈlɜːrt/;to warn somebody about a dangerous situation or one that requires immediate action;alert somebody, Neighbours quickly alerted the emergency services.
169;alien;чужий;adjective;c1;/ˈeɪliən/;/ˈeɪliən/;"strange and frightening; different from what you are used to";an alien environment
170;alien;чужий;noun;b2;/ˈeɪliən/;/ˈeɪliən/;a person who is not a citizen of the country in which they live or work;an illegal alien
171;align;вирівняти;verb;c1;/əˈlaɪn/;/əˈlaɪn/;to arrange something in the correct position, or to be in the correct position, in relation to something else, especially in a straight line;Make sure the shelf is aligned with the top of the cupboard.
172;alignment;вирівнювання;noun;c1;/əˈlaɪnmənt/;/əˈlaɪnmənt/;arrangement in a straight line;the alignment of the sun, moon and earth at a particular time
173;alike;однаково;adjective;c1;/əˈlaɪk/;/əˈlaɪk/;very similar;My sister and I do not look alike.
174;alike;однаково;adverb;c1;/əˈlaɪk/;/əˈlaɪk/;in a very similar way;They tried to treat all their children alike.
175;alive;живий;adjective;a2;/əˈlaɪv/;/əˈlaɪv/;"living; not dead";Is your mother still alive?
176;all;все;adverb;a2;/ɔːl/;/ɔːl/;completely;She was dressed all in white.
177;all;всі;determiner;a1;/ɔːl/;/ɔːl/;the whole number of;All horses are animals, but not all animals are horses.
178;all;всі;pronoun;a1;/ɔːl/;/ɔːl/;the whole number or amount;All of the food has gone.
179;all right;гаразд;adjective;a2;/ɔːl ˈraɪt/;/ɔːl ˈraɪt/;"acceptable; in an acceptable manner";Is the coffee all right?
180;all right;гаразд;adverb;a2;/ɔːl ˈraɪt/;/ɔːl ˈraɪt/;"acceptable; in an acceptable manner";Is the coffee all right?
181;all right;гаразд;exclamation;a2;/ɔːl ˈraɪt/;/ɔːl ˈraɪt/;used to check that somebody agrees or understands;We've got to get up early, all right?
182;allegation;твердження;noun;c1;/ˌæləˈɡeɪʃn/;/ˌæləˈɡeɪʃn/;a public statement that is made without giving proof, accusing somebody of doing something that is wrong or illegal;to investigate/deny/withdraw an allegation
